副本,#流派#
央视,#genre#
CCTV-1综合,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv1/1.m3u8#http://ottrrs.hl.chinamobile.com /PLTV/88888888/224/3221226016/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225816/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224 /3221226231/1.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226231/index.m3u8
CCTV-2财经,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv2/1.m3u8#http://hwrr.jx.chinamobile.com :8080/PLTV/88888888/224/3221225619/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV /88888888/224/3221226195/1.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-3综艺,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv3/1.m3u8#http://ottrrs.hl.chinamobile.com /PLTV/88888888/224/3221226021/index.m3u8#http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8#http://183.207.249.14/PLTV /3/224/3221225588/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#http://39.134.115.163:8080/PLTV/88888910 /224/3221225647/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m 3u8#http://111.20.33.93/PLTV/88888893/224/3221226397/index. m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4中文国际,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-4/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/ 224/3221225621/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226191/ index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4中文国际 欧洲,http://39.136.48.20:8089/PLTV/88888888/224/3221226318/index.m3u8#http://117.148.129.9/PLTV/88888888/224/3221231615/index.m3u8#http ://117.148.129.68/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4中文国际 美洲,http://39.136.48.7:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV-5体育,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-5/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business /live/HD-8M-1080P-cctv05plus/1.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://39.134.115.163:8080 /PLTV/88888910/224/3221225649/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/ 3221225706 /index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/index.html m3u8#http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6电影,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv6/1.m3u8#http://ottrrs.hl.chinamobile.com /PLTV/88888888/224/3221226010/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#http://39.134.115.163:8080/PLTV /88888910/224/3221225650/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8#http://111.20.33.93/PLTV/88888893/224/322 1226393/索引.m3u8
